Nome_Maschi,QI_Maschi,Eta_Maschi,Nome_Femmine,QI_Femmine,Eta_Femmine
Maschio_1,92.62423863833129,74,Femmina_1,70.67781080715378,44
Maschio_2,95.79507418229133,75,Femmina_2,111.99221714675916,87
Maschio_3,108.99280244571608,66,Femmina_3,114.53523312115915,55
Maschio_4,104.98726354045309,47,Femmina_4,111.33153561902252,29
Maschio_5,95.74975807806854,42,Femmina_5,120.11068899579325,13
Maschio_6,119.2467530237945,39,Femmina_6,93.95480682361091,49
Maschio_7,94.06059358530294,72,Femmina_7,90.57646016074564,10
Maschio_8,91.81898688959778,68,Femmina_8,83.9561752538708,63
Maschio_9,98.44151014991417,25,Femmina_9,100.97945050012306,71
Maschio_10,100.148374965154,44,Femmina_10,119.84651649464223,47
Maschio_11,102.9274190180039,65,Femmina_11,102.7964934516391,83
Maschio_12,86.78836020956157,67,Femmina_12,96.01721538701439,12
Maschio_13,73.51059189265888,45,Femmina_13,98.21927474228563,55
Maschio_14,114.24722987950017,56,Femmina_14,100.56300289671793,28
Maschio_15,89.61504820692087,34,Femmina_15,82.04933991253542,41
Maschio_16,89.16598236147736,60,Femmina_16,94.58634644302215,77
Maschio_17,91.75697229287236,43,Femmina_17,100.02920478871114,55
Maschio_18,105.49047810280358,72,Femmina_18,105.87293950998784,26
Maschio_19,109.89626271614121,71,Femmina_19,80.37346844262198,63
Maschio_20,98.89681694992721,41,Femmina_20,113.0818598622413,65
Maschio_21,69.66833040583226,73,Femmina_21,100.44167330148733,46
Maschio_22,108.13165628454246,70,Femmina_22,104.28530339426226,77
Maschio_23,104.62500090819502,58,Femmina_23,120.0198810466209,15
Maschio_24,104.06937602354073,36,Femmina_24,96.67635723733646,84
Maschio_25,82.2138985844084,46,Femmina_25,91.1248875580222,45
Maschio_26,115.27401942283528,21,Femmina_26,89.73305925125833,76
Maschio_27,105.49883274717752,53,Femmina_27,99.23291362754769,63
Maschio_28,101.23280704103054,42,Femmina_28,97.96864086657843,27
Maschio_29,108.42326764475256,10,Femmina_29,79.69814635583265,31
Maschio_30,120.93128816651165,11,Femmina_30,60.308476439782034,50
Maschio_31,102.7645796175675,15,Femmina_31,103.49953667508744,37
Maschio_32,113.96654431287149,36,Femmina_32,99.10232370665692,78
Maschio_33,96.4139790796177,28,Femmina_33,107.475557163745,78
Maschio_34,93.9471523834333,47,Femmina_34,100.55156413021248,47
